uid,image,group,gingiva_mask_iou,gingiva_boundary_iou,gingiva_n_columns_gt,gingiva_n_columns_pred,gingiva_n_columns_both,gingiva_columns_missed_frac,gingiva_columns_spurious_frac,gingiva_top_edge_mae_px,gingiva_top_edge_median_px,gingiva_top_edge_bias_px,gingiva_bottom_edge_mae_px,gingiva_bottom_edge_median_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,lip_mask_iou,lip_boundary_iou
high/IMG_8584_jpg,IMG_8584_jpg,high,0.8626434034416826,0.3931147814945826,975,975,973,0.0020512820512820513,0.0020512820512820513,4.07502569373073,4.0,-1.9270298047276464,7.553956834532374,5.0,0.8057553956834532,8.424460431654676,0.8431505643965106,0.2639058229976876
high/IMG_8587_jpg,IMG_8587_jpg,high,0.819573364081868,0.36901064208971945,981,960,960,0.021406727828746176,0.0,5.376041666666667,6.0,2.511458333333333,7.491666666666666,6.0,-3.5875,9.769791666666666,0.8396185809356687,0.2716364450414148
high/IMG_8601_jpg,IMG_8601_jpg,high,0.7602903256613504,0.40605538624619053,906,870,870,0.039735099337748346,0.0,4.426436781609195,4.0,0.3505747126436782,6.439080459770115,4.0,-2.6528735632183906,7.787356321839081,0.8491725153799498,0.3626789152573828
high/IMG_8630_jpg,IMG_8630_jpg,high,0.7768209387465166,0.2109843357184297,731,886,731,0.0,0.17494356659142213,11.976744186046512,12.0,-11.517099863201095,7.495212038303694,5.0,4.091655266757866,16.186046511627907,0.7112935391628241,0.22967722967722967
high/IMG_8645_jpg,IMG_8645_jpg,high,0.7820687371209891,0.4342920353982301,864,859,856,0.009259259259259259,0.0034924330616996507,2.822429906542056,2.0,-2.441588785046729,10.94626168224299,6.0,-6.327102803738318,11.462616822429906,0.9331957814111936,0.4851056459993072
high/111 (1)_jpg,111 (1)_jpg,high,0.8156645914058078,0.36716795351214654,1011,883,883,0.12660731948565776,0.0,5.3657984144960365,5.0,5.35673839184598,6.0849377123442805,5.0,-0.6738391845979615,7.8493771234428085,0.7348056502295159,0.37358119812808643
high/IMG_2456_jpeg,IMG_2456_jpeg,high,0.7710474067365635,0.2737112574273326,874,749,749,0.14302059496567507,0.0,6.037383177570093,6.0,6.037383177570093,8.124165554072096,7.0,-5.459279038718291,12.255006675567424,0.8286641979284066,0.2922375639360772
high/IMG_2550_jpeg,IMG_2550_jpeg,high,0.8432533821704968,0.37997432605905007,883,840,840,0.04869762174405436,0.0,2.7988095238095236,3.0,1.313095238095238,8.34047619047619,7.0,-4.957142857142857,9.591666666666667,0.8598144128602978,0.32075572112825973
high/IMG_2616_jpg,IMG_2616_jpg,high,0.8857364884426092,0.3494935043957819,1099,1085,1085,0.012738853503184714,0.0,6.012903225806451,6.0,2.96221198156682,7.730875576036866,5.0,-1.8414746543778802,11.706912442396314,0.9009435958194051,0.3704493351673544
high/IMG_2641_jpg,IMG_2641_jpg,high,0.830891325290151,0.2508916860344709,1054,1064,1040,0.013282732447817837,0.022556390977443608,7.689423076923077,8.0,7.247115384615385,8.84423076923077,8.0,2.5711538461538463,11.43173076923077,0.8736866122868062,0.3278288122770993
high/IMG_2665_jpg,IMG_2665_jpg,high,0.8127518986647657,0.3079582934354719,916,912,906,0.010917030567685589,0.006578947368421052,6.048565121412803,6.0,5.849889624724062,8.811258278145695,7.0,-0.9944812362030905,10.614790286975717,0.8927822094284353,0.4397807779708595
high/IMG_2749-_jpg,IMG_2749-_jpg,high,0.7824416467979772,0.30616206948716657,1091,1059,1059,0.02933088909257562,0.0,6.593012275731822,6.0,6.402266288951841,6.521246458923513,5.0,-2.4608120868744097,10.702549575070822,0.736914885721317,0.33969624300559553
high/IMG_2796_jpg,IMG_2796_jpg,high,0.904821406381598,0.35171790235081374,1099,1101,1094,0.004549590536851683,0.006357856494096276,4.635283363802559,5.0,3.856489945155393,7.817184643510055,7.0,-3.5009140767824496,10.622486288848263,0.7882781342118953,0.2581843415789044
high/IMG_2892_jpg,IMG_2892_jpg,high,0.7912478893623864,0.365063012945984,864,857,852,0.013888888888888888,0.005834305717619603,4.116197183098592,4.0,0.7617370892018779,7.746478873239437,6.0,-4.575117370892019,7.365023474178404,0.8703286892666734,0.30016302284553026
high/IMG_3068_jpg,IMG_3068_jpg,high,0.8708661588920489,0.38883204997038395,1023,1057,1023,0.0,0.03216650898770104,4.087976539589443,4.0,2.2170087976539588,6.4232649071358745,5.0,1.2443792766373412,6.104594330400782,0.8894196553118079,0.2645920097105665
high/IMG_3079_jpg,IMG_3079_jpg,high,0.8645961665186374,0.4488869677977091,929,880,880,0.0527448869752422,0.0,3.096590909090909,2.0,2.478409090909091,6.4409090909090905,5.0,-1.309090909090909,6.910227272727273,0.7808843287222944,0.24642527922481616
high/IMG_3110_jpg,IMG_3110_jpg,high,0.8871743006391475,0.42141515341264874,901,840,840,0.06770255271920089,0.0,4.041666666666667,3.0,2.9964285714285714,6.402380952380953,5.5,2.835714285714286,7.179761904761905,0.867511888141623,0.3011553628669603
high/IMG_3129_jpg,IMG_3129_jpg,high,0.8855228631651396,0.40809185030944534,858,878,858,0.0,0.022779043280182234,3.766899766899767,3.0,3.051282051282051,7.906759906759906,6.0,-4.911421911421911,9.172494172494172,0.7622288914328146,0.2936233801229759
high/IMG_3800-_jpg,IMG_3800-_jpg,high,0.8193296465877783,0.3238577984793479,975,999,975,0.0,0.024024024024024024,8.398974358974359,5.0,-2.1507692307692308,9.837948717948718,8.0,7.093333333333334,13.422564102564102,0.7801861109266655,0.27561606979066877
high/IMG_3827-_jpg,IMG_3827-_jpg,high,0.8205880913939038,0.3604665143681616,918,872,872,0.05010893246187364,0.0,5.5619266055045875,5.0,5.5619266055045875,6.127293577981652,5.0,-2.051605504587156,9.056192660550458,0.9362048199551999,0.4723768970411617
high/IMG_6617-_jpg,IMG_6617-_jpg,high,0.9185594551520919,0.5615446750341743,953,957,953,0.0,0.0041797283176593526,2.194123819517314,2.0,-0.3242392444910808,5.187827911857293,5.0,-0.5729275970619098,5.858342077649528,0.8981150707211525,0.4657698897782779
high/IMG_6748_jpg,IMG_6748_jpg,high,0.8693171235544117,0.5239383714267524,957,951,945,0.012539184952978056,0.006309148264984227,2.673015873015873,2.0,-1.5492063492063493,5.32063492063492,3.0,0.6201058201058202,6.0994708994709,0.8578819950295655,0.373150053905714
high/IMG_6791_jpg,IMG_6791_jpg,high,0.7852182451129162,0.3275411117457836,888,923,888,0.0,0.03791982665222102,5.365990990990991,5.0,5.329954954954955,6.789414414414415,6.0,5.5641891891891895,5.497747747747748,0.8159753593429158,0.40489973123837086
high/IMG_6857-_jpg,IMG_6857-_jpg,high,0.7555698647778494,0.3431807908102215,991,962,956,0.035317860746720484,0.006237006237006237,4.599372384937238,4.0,4.103556485355648,10.673640167364017,7.0,-1.8054393305439331,12.925732217573222,0.8792331264241376,0.519975480397644
